YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2019,Q1,1,14,TR,GB,"Felixstowe, P",GB,GB,TR,TR,GB,CVEDP,No,Human Consumption,736,616,/,/,Not satisfactory,Not satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,1. Re-Export,1. Absence/Invalid Certificate,2019-02-12,2019,Q1,2,12,1905,1905,-,,-
2019,Q1,1,14,TR,GB,"Felixstowe, P",GB,GB,TR,TR,GB,CVEDP,No,Human Consumption,1680,672,/,/,Not satisfactory,Not satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,1. Re-Export,1. Absence/Invalid Certificate,2019-02-12,2019,Q1,2,12,1806,1806,/,/,-
2019,Q1,1,24,US,GB,Stansted,GB,GB,US,US,GB,CVEDP,No,Human Consumption,9,8,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,2. Destruction,1. Absence/Invalid Certificate,2019-01-24,2019,Q1,1,24,40410,40410,Bos Taurus,Bos Taurus,-
2019,Q1,1,22,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2019-01-25,2019,Q1,1,25,3038990,03038990|03048910|16041991,Mugil Spp,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmonidae,-
2019,Q1,1,22,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,5187,4698,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2019-01-25,2019,Q1,1,25,3048910,03038990|03048910|16041991,Coregonus Spp,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmonidae,-
2019,Q1,1,22,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2019-01-25,2019,Q1,1,25,3048910,03038990|03048910|16041991,Salmonidae,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmonidae,-
2019,Q1,1,22,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2019-01-25,2019,Q1,1,25,16041991,03038990|03048910|16041991,Merluccius Capensis,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmonidae,-
2019,Q1,1,22,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,548,475,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2019-01-25,2019,Q1,1,25,3038990,03038990|03048910,Mugil Spp,Hypophthalmichthys Molitrix|Mugil Spp,-
2019,Q1,1,22,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2019-01-25,2019,Q1,1,25,3048910,03038990|03048910,Hypophthalmichthys Molitrix,Hypophthalmichthys Molitrix|Mugil Spp,-
2019,Q1,1,20,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2019-01-22,2019,Q1,1,22,20120,020120|020130,Bos Taurus,Bos Taurus,-
