YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2018,Q3,9,19,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,24500,20000,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-09-25,2018,Q3,9,25,3061799,3061799,Metapenaeus Spp,Metapenaeus Spp,-
2018,Q3,9,25,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-05,2018,Q4,10,5,3038990,03038990|03048100|03048910|16041991,Mugil Spp,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmo Salar,-
2018,Q3,9,25,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-05,2018,Q4,10,5,3048100,03038990|03048100|03048910|16041991,Salmo Salar,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmo Salar,-
2018,Q3,9,25,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-05,2018,Q4,10,5,3048910,03038990|03048100|03048910|16041991,Coregonus Spp,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmo Salar,-
2018,Q3,9,25,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,1895,1763,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-05,2018,Q4,10,5,16041991,03038990|03048100|03048910|16041991,Merluccius Capensis,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmo Salar,-
2018,Q3,9,25,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-05,2018,Q4,10,5,3048910,03048910|16041991,Coregonus Spp,Coregonus Spp|Merluccius Capensis,-
2018,Q3,9,25,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,335,317,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-05,2018,Q4,10,5,16041991,03048910|16041991,Merluccius Capensis,Coregonus Spp|Merluccius Capensis,-
2018,Q3,9,3,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,471,435,/,/,Not satisfactory,Not satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2018-09-06,2018,Q3,9,6,4090000,4090000,Apis Melifera,Apis Melifera,-
2018,Q3,9,4,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,54,44,/,/,Not satisfactory,Not satisfactory,-,No,-,-,-,/,-,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2018-09-06,2018,Q3,9,6,16041390,16041390,Sardina Pilchardus,Sardina Pilchardus,-
2018,Q3,9,4,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-09-06,2018,Q3,9,6,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q3,9,4,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,5537,5227,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-09-06,2018,Q3,9,6,20130,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q3,9,4,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,375,352,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-09-06,2018,Q3,9,6,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q3,9,6,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,218,204,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-09-06,2018,Q3,9,6,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q3,9,16,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,6970,6590,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-09-18,2018,Q3,9,18,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q3,9,16,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-09-18,2018,Q3,9,18,20130,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q3,9,16,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,723,682,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-09-18,2018,Q3,9,18,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q3,9,30,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-02,2018,Q4,10,2,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q3,9,30,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,6752,6389,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-02,2018,Q4,10,2,20130,020120|020130,Bos Taurus,Bos Taurus,-
